timestamp,responseTime,criteria
2019-04-01 13:30:56.312989,0.023993,CPU Usage
2019-04-01 13:30:56.330039,0.008354,CPU Usage
2019-04-01 13:30:56.355648,0.016631,CPU Usage
2019-04-01 13:30:56.376323,0.016016,CPU Usage
2019-04-01 13:30:56.397173,0.016865,CPU Usage
2019-04-01 13:30:56.429991,0.023824,CPU Usage
2019-04-01 13:30:56.463726,0.025047,CPU Usage
2019-04-01 13:30:56.477706,0.009148,CPU Usage
2019-04-01 13:30:56.510541,0.028769,CPU Usage
2019-04-01 13:30:56.528572,0.014118,CPU Usage
2019-04-01 13:30:56.558198,0.021821,CPU Usage
2019-04-01 13:30:56.576072,0.013178,CPU Usage
2019-04-01 13:30:56.599359,0.018353,CPU Usage
2019-04-01 13:30:56.616549,0.008655,CPU Usage
2019-04-01 13:30:56.630557,0.007186,CPU Usage
2019-04-01 13:30:56.657773,0.018089,CPU Usage
2019-04-01 13:30:56.672618,0.010104,CPU Usage
2019-04-01 13:30:56.697424,0.019483,CPU Usage
2019-04-01 13:30:56.721256,0.015483,CPU Usage
2019-04-01 13:30:56.749553,0.023542,CPU Usage
2019-04-01 13:30:56.780196,0.021613,CPU Usage
2019-04-01 13:30:56.806288,0.016973,CPU Usage
2019-04-01 13:30:56.826226,0.015143,CPU Usage
2019-04-01 13:30:56.858279,0.027289,CPU Usage
2019-04-01 13:30:56.880529,0.017375,CPU Usage
2019-04-01 13:30:56.905334,0.014217,CPU Usage
2019-04-01 13:30:56.922812,0.01293,CPU Usage
2019-04-01 13:30:56.946477,0.019075,CPU Usage
2019-04-01 13:30:56.974005,0.017804,CPU Usage
2019-04-01 13:30:56.994670,0.016548,CPU Usage
2019-04-01 13:30:57.016322,0.016586,CPU Usage
2019-04-01 13:30:57.038759,0.014271,CPU Usage
2019-04-01 13:30:57.050416,0.007048,CPU Usage
2019-04-01 13:30:57.078048,0.018031,CPU Usage
2019-04-01 13:30:57.093980,0.012042,CPU Usage
2019-04-01 13:30:57.111388,0.014199,CPU Usage
2019-04-01 13:30:57.132168,0.016859,CPU Usage
2019-04-01 13:30:57.147182,0.006521,CPU Usage
2019-04-01 13:30:57.162395,0.009316,CPU Usage
2019-04-01 13:30:57.188310,0.019954,CPU Usage
2019-04-01 13:30:57.197396,0.005773,CPU Usage
2019-04-01 13:30:57.211385,0.009145,CPU Usage
2019-04-01 13:30:57.232608,0.016829,CPU Usage
