timestamp,responseTime,criteria
2019-04-01 23:31:58.619053,23.957599,Uptime
2019-04-01 23:32:22.260931,23.639027,Uptime
2019-04-01 23:32:45.517775,23.252826,Uptime
2019-04-01 23:33:10.117689,24.596028,Uptime
2019-04-01 23:33:33.666223,23.544578,Uptime
2019-04-01 23:33:57.476859,23.806761,Uptime
2019-04-01 23:34:21.395169,23.914528,Uptime
2019-04-01 23:34:44.914395,23.515128,Uptime
2019-04-01 23:35:08.158006,23.239884,Uptime
2019-04-01 23:35:32.323983,24.163315,Uptime
2019-04-01 23:35:55.913401,23.585664,Uptime
2019-04-01 23:36:19.017641,23.100338,Uptime
2019-04-01 23:36:42.978976,23.957387,Uptime
2019-04-01 23:37:06.356176,23.370032,Uptime
2019-04-01 23:37:29.588459,23.228028,Uptime
2019-04-01 23:37:53.531607,23.939143,Uptime
2019-04-01 23:38:17.697411,24.162628,Uptime
2019-04-01 23:38:40.944160,23.243253,Uptime
2019-04-01 23:39:05.620405,24.673147,Uptime
2019-04-01 23:39:29.068665,23.444572,Uptime
2019-04-01 23:39:52.211894,23.139758,Uptime
2019-04-01 23:40:16.890029,24.674072,Uptime
