timestamp,responseTime,criteria
2019-04-01 21:50:39.665615,0.091223,Baseline
2019-04-01 21:50:39.737571,0.061916,Baseline
2019-04-01 21:50:39.806692,0.064442,Baseline
2019-04-01 21:50:39.873627,0.062658,Baseline
2019-04-01 21:50:39.936870,0.060541,Baseline
2019-04-01 21:50:39.999621,0.059839,Baseline
2019-04-01 21:50:40.067787,0.063119,Baseline
2019-04-01 21:50:40.131511,0.060752,Baseline
2019-04-01 21:50:40.194709,0.059672,Baseline
2019-04-01 21:50:40.261005,0.062842,Baseline
2019-04-01 21:50:40.329492,0.06485,Baseline
2019-04-01 21:50:40.401154,0.067609,Baseline
2019-04-01 21:50:40.467932,0.063817,Baseline
2019-04-01 21:50:40.533537,0.062747,Baseline
2019-04-01 21:50:40.602185,0.065563,Baseline
2019-04-01 21:50:40.666668,0.060977,Baseline
2019-04-01 21:50:40.729129,0.060009,Baseline
2019-04-01 21:50:40.792037,0.060246,Baseline
2019-04-01 21:50:40.862062,0.066078,Baseline
2019-04-01 21:50:40.928473,0.062826,Baseline
2019-04-01 21:50:40.993326,0.062221,Baseline
2019-04-01 21:50:41.057466,0.061205,Baseline
2019-04-01 21:50:41.129141,0.068046,Baseline
2019-04-01 21:50:41.194604,0.061911,Baseline
2019-04-01 21:50:41.258191,0.060457,Baseline
2019-04-01 21:50:41.323411,0.062551,Baseline
2019-04-01 21:50:41.401704,0.065408,Baseline
2019-04-01 21:50:41.467840,0.06206,Baseline
2019-04-01 21:50:41.531932,0.06053,Baseline
2019-04-01 21:50:41.595629,0.061034,Baseline
2019-04-01 21:50:41.658688,0.060493,Baseline
2019-04-01 21:50:41.727730,0.066174,Baseline
2019-04-01 21:50:41.794651,0.064146,Baseline
2019-04-01 21:50:41.858407,0.060837,Baseline
2019-04-01 21:50:41.930180,0.068831,Baseline
2019-04-01 21:50:41.995010,0.060806,Baseline
2019-04-01 21:50:42.059254,0.060305,Baseline
2019-04-01 21:50:42.125909,0.063077,Baseline
2019-04-01 21:50:42.191695,0.062338,Baseline
2019-04-01 21:50:42.255679,0.060462,Baseline
2019-04-01 21:50:42.320329,0.061747,Baseline
2019-04-01 21:50:42.384923,0.061291,Baseline
2019-04-01 21:50:42.453488,0.066478,Baseline
2019-04-01 21:50:42.515292,0.05932,Baseline
2019-04-01 21:50:42.583864,0.066248,Baseline
2019-04-01 21:50:42.646738,0.060444,Baseline
2019-04-01 21:50:42.711110,0.061489,Baseline
2019-04-01 21:50:42.776204,0.061735,Baseline
2019-04-01 21:50:42.845839,0.066345,Baseline
2019-04-01 21:50:42.911926,0.062283,Baseline
2019-04-01 21:50:42.976393,0.0603,Baseline
2019-04-01 21:50:43.048877,0.06922,Baseline
2019-04-01 21:50:43.115891,0.063157,Baseline
2019-04-01 21:50:43.180106,0.061457,Baseline
2019-04-01 21:50:43.243910,0.060322,Baseline
2019-04-01 21:50:43.307764,0.061139,Baseline
2019-04-01 21:50:43.437406,0.125943,Baseline
2019-04-01 21:50:43.499338,0.059473,Baseline
2019-04-01 21:50:43.563055,0.061223,Baseline
2019-04-01 21:50:43.630539,0.064576,Baseline
